Player name,Age,club,market value,League,position
Boubakary Soumaré,24,Sevilla FC,20.0,LaLiga,Defensive Midfield
Jefferson Lerma,28,Crystal Palace,20.0,Premier League,Defensive Midfield
Jonathan Bamba,27,Celta de Vigo,20.0,LaLiga,Left Winger
Tijjani Reijnders,24,AC Milan,14.0,Serie A,Central Midfield
Ivan Ilic,22,Torino FC,19.0,Serie A,Central Midfield
Mauro Icardi,30,Galatasaray,19.0,Süper Lig,Centre-Forward
Zeki Amdouni,22,Burnley FC,10.0,Premier League,Centre-Forward
Edouard Mendy,31,Al-Ahli SFC,12.0,Saudi Pro League,Goalkeeper
Morten Hjulmand,24,Sporting CP,15.0,Liga Portugal,Defensive Midfield
Habib Diallo,28,Al-Shabab FC,18.0,Saudi Pro League,Centre-Forward
Anthony Elanga,21,Nottingham Forest,18.0,Premier League,Left Winger
Dean Henderson,26,Crystal Palace,18.0,Premier League,Goalkeeper
Iliman Ndiaye,23,Olympique Marseille,18.0,Ligue 1,Centre-Forward
Mohammed Salisu,24,AS Monaco,18.0,Ligue 1,Centre-Back
Jesper Karlsson,25,Bologna FC 1909,18.0,Serie A,Left Winger
Sebastian Szymanski,24,Fenerbahce,18.0,Süper Lig,Attacking Midfield
Nuno Tavares,23,Nottingham Forest,18.0,Premier League,Left-Back
Kepa Arrizabalaga,28,Real Madrid,18.0,LaLiga,Goalkeeper
Robin Koch,26,Eintracht Frankfurt,18.0,Bundesliga,Centre-Back
Manor Solomon,23,Tottenham Hotspur,18.0,Premier League,Left Winger
Nicolò Rovella,21,SS Lazio,18.0,Serie A,Defensive Midfield
Nicolas Pépé,28,Trabzonspor,18.0,Süper Lig,Right Winger
Roberto Firmino,31,Al-Ahli SFC,18.0,Saudi Pro League,Centre-Forward
Milos Kerkez,19,AFC Bournemouth,15.0,Premier League,Left-Back
Gustavo Hamer,26,Sheffield United,8.0,Premier League,Defensive Midfield
James Trafford,20,Burnley FC,15.0,Premier League,Goalkeeper
Chris Wood,31,Nottingham Forest,8.0,Premier League,Centre-Forward
